stock_code,date,volume,open_price,close_price,turnover,turnover_rate,price_change_percentage,volume_next_day,volume_last_day,close_price_next_days,cumsum_return_next_days,volume_rate
300479,2024-07-26,18272,27.74,27.88,24872884.0,0.93,0.36,76512.0,22440.0,29.26,4.949784791965576,3.7586952249950873
688628,2024-08-07,5944,30.19,30.25,16868897.0,1.21,-0.23,19109.0,5986.0,31.74,4.925619834710739,3.2035205364626993
688660,2024-07-23,59350,3.05,3.05,17531842.0,0.45,0.0,163614.0,40768.0,3.2,4.918032786885258,3.268423260552548
603330,2024-07-23,29222,24.49,24.29,13046172.0,0.68,-0.82,178612.0,43151.0,25.48,4.899135446685884,4.935873875616597
603976,2024-08-09,8586,22.28,21.86,12383494.0,0.57,-1.4,35771.0,8392.0,22.93,4.894784995425436,4.213806102014371
300418,2024-08-13,174244,106.96,107.47,461926420.0,1.41,0.59,689193.0,223671.0,112.73,4.894389131850754,3.4640212105600443
2659,2024-07-23,96301,6.56,6.54,30853214.0,1.61,-0.3,379604.0,82340.0,6.86,4.892966360856273,4.249909035439793
2163,2024-07-30,50477,25.29,25.78,27701173.79,0.63,1.94,155792.0,37508.0,27.04,4.887509697439868,3.5413309086776157
2932,2024-08-09,11906,73.56,72.72,20245849.28,0.76,-1.32,73008.0,16979.0,76.27,4.881738173817378,5.055080491604639
300590,2024-07-26,118162,62.46,64.13,130263265.0,3.35,2.59,358399.0,110071.0,67.26,4.88071105566819,3.140641362116784
301093,2024-07-29,2784,19.5,19.42,4942398.0,0.31,-0.41,51975.0,4452.0,20.36,4.840370751802254,14.365671641791044
600355,2024-08-06,113862,12.36,12.4,34039516.0,2.31,0.98,575456.0,181882.0,13.0,4.838709677419352,3.891581908677775
300033,2024-07-30,35438,870.12,868.6,343562231.0,1.3,-0.41,185395.0,41873.0,910.6,4.835367257655998,4.7960833516575905
600668,2024-07-31,17604,84.86,86.66,13925573.0,0.51,2.12,192605.0,7993.0,90.83,4.811908608354491,15.049029183107395
301266,2024-08-05,41183,31.15,31.43,130045780.0,10.98,-0.6,115761.0,32399.0,32.93,4.772510340439071,3.1464488597754885
300211,2024-08-13,34487,32.98,33.79,17423209.0,1.16,1.5,179872.0,22608.0,35.4,4.76472329091447,6.300796917418338
688625,2024-08-07,688,35.52,35.33,2288734.0,0.05,-0.56,3940.0,1076.0,37.01,4.7551655816586464,4.467120181405896
301336,2024-07-25,4215,27.81,28.97,11983408.0,1.64,3.54,10793.0,2878.0,30.34,4.729030031066625,3.043282109121669
300259,2024-08-08,54951,43.18,42.91,13835829.0,0.47,-0.33,177345.0,50319.0,44.93,4.707527382894438,3.3693359931604445
301031,2024-07-26,3990,75.5,75.8,29323385.0,0.92,1.24,15922.0,3537.0,79.36,4.696569920844331,4.230636375714096
3002,2024-08-06,9898,11.02,11.13,10026773.0,0.54,1.92,58702.0,11752.0,11.65,4.672057502246178,5.422817551963049
301285,2024-08-08,13245,22.11,21.9,28690129.0,1.68,-0.64,56398.0,16449.0,22.92,4.6575342465753575,3.798612514312656
2246,2024-08-09,113936,13.01,12.84,89354991.0,2.08,-1.31,520427.0,159415.0,13.43,4.595015576323987,3.807756327944657
2508,2024-07-25,24837,151.21,151.91,50272278.24,0.27,0.19,164336.0,28221.0,158.87,4.581660193535651,6.194579516755249
600851,2024-08-01,78141,43.8,47.66,39012549.0,1.06,8.42,248580.0,43973.0,49.83,4.553084347461187,4.071277658581326
2561,2024-07-29,74767,11.6,11.65,56350131.55,1.8,0.26,437256.0,98653.0,12.18,4.54935622317596,5.04274016837735
600568,2024-08-08,26250,16.54,16.54,3321170.0,0.16,0.0,83643.0,20663.0,17.29,4.534461910519952,3.565877262166137
836942,2024-08-12,665,15.18,15.27,533668.33,0.2,0.13,4472.0,407.0,15.96,4.518664047151286,8.343283582089553
603366,2024-07-25,32238,10.11,10.19,10921822.0,0.4,0.79,134764.0,42120.0,10.65,4.5142296368989285,3.6247343930713574
2177,2024-07-25,260873,30.6,30.6,87914190.89,3.9,9.56,792274.0,184410.0,31.98,4.509803921568624,3.558518964344024
301062,2024-07-29,18937,10.73,10.5,19726913.0,0.79,-1.5,86165.0,19158.0,10.97,4.4761904761904825,4.523690773067331
300215,2024-07-26,89757,92.2,93.16,41716276.0,1.6,1.22,375716.0,116500.0,97.32,4.465435809360237,3.6431830192429833
605255,2024-08-09,8485,13.55,13.51,10075121.0,0.63,-0.15,40513.0,11298.0,14.11,4.4411547002220555,4.095738765606834
603077,2024-07-30,267358,23.54,23.67,44331755.0,0.3,0.55,816769.0,236222.0,24.72,4.435994930291496,3.2438500337582905
1231,2024-08-01,4934,14.05,13.98,6806810.65,1.34,0.14,35805.0,7979.0,14.6,4.4349070100143,5.545574227522652
605177,2024-07-30,4184,20.35,20.54,8093386.0,0.36,0.79,15026.0,2025.0,21.45,4.4303797468354436,4.840070864873571
600305,2024-07-30,24901,53.78,53.98,17468227.0,0.22,0.37,78650.0,22930.0,56.37,4.427565765098186,3.2886621647048986
2198,2024-07-30,22800,31.68,31.68,13983253.0,0.45,0.16,101091.0,27527.0,33.08,4.419191919191915,4.017366423589723
301055,2024-08-08,9691,12.87,12.9,11510173.0,1.66,0.23,30776.0,7244.0,13.47,4.418604651162792,3.634602893416002
603955,2024-07-30,42644,11.12,12.12,35108014.0,3.14,9.19,103530.0,20503.0,12.65,4.3729372937293824,3.279015630196209
908,2024-08-05,237675,5.5,5.5,55378295.97,3.01,4.56,377382.0,12609.0,5.74,4.363636363636368,3.0156302440427676
300512,2024-08-08,15828,20.89,20.65,8769968.0,0.48,-0.43,89001.0,12521.0,21.55,4.358353510895895,6.2789516385057675
300675,2024-08-08,47506,12.47,12.07,54899942.0,3.24,-3.52,295032.0,49613.0,12.59,4.308202154101074,6.075680350909709
