error_sysbol
2312
2340
600377
600548
2357
600106
506
2823
300907
2196
603728
920008
605058
301566
2047
536
688022
600262
603173
688109
300468
300469
2396
301419
605188
600858
600824
759
600502
603007
603815
2135
603637
600796
300190
603177
2286
600300
688586
600038
600879
300900
2591
300682
300846
600718
600228
603887
300166
2530
301428
3041
603001
301066
600452
600310
1289
958
1201
601952
601818
688076
2044
301333
603108
2821
729
603976
688108
688575
688139
872925
688606
300685
301097
300181
2554
300027
300459
300052
300315
300031
